# SYNTHETIC — generated by tools/mock_observe.py, not real observations
# plan=night_2026-09-20_visnjan.json seed=1 completion=0.6 seeing=2.5 fail_rate=0.03
ra_deg,dec_deg,filter,fwhm_arcsec,exptime_s,tile_hint,mock
341.334047,34.279331,R,2.99,30,37_128,1
343.759282,35.744771,G,1.66,30,38_127,1
343.759079,35.746695,R,2.14,30,38_127,1
341.054449,35.745755,G,2.88,30,38_126,1
341.051416,35.745466,R,2.5,30,38_126,1
338.346073,35.746948,G,2.75,30,38_125,1
338.347164,35.746538,R,2.3,30,38_125,1
335.640858,35.746314,G,2.3,30,38_124,1
335.639212,35.745679,R,2.76,30,38_124,1
332.932132,35.74754,G,2.42,30,38_123,1
332.933297,35.746623,R,2.83,30,38_123,1
330.225149,35.747152,G,3.27,30,38_122,1
330.224669,35.747648,R,2.83,30,38_122,1
327.516685,35.745969,G,1.81,30,38_121,1
327.518248,35.746201,R,2.35,30,38_121,1
324.810543,35.74797,G,2.96,30,38_120,1
324.810809,35.745683,R,2.79,30,38_120,1
322.104356,35.74566,G,2.8,30,38_119,1
319.39734,35.746542,G,2.89,30,38_118,1
319.398863,35.746456,R,2.75,30,38_118,1
316.690897,35.746505,G,2.25,30,38_117,1
313.984476,35.744794,G,2.5,30,38_116,1
313.984316,35.744755,R,2.54,30,38_116,1
311.279393,35.746134,G,2.96,30,38_115,1
311.280109,35.744972,R,2.4,30,38_115,1
308.572891,35.746899,G,2.73,30,38_114,1
308.572371,35.747197,R,2.79,30,38_114,1
307.384009,37.213468,G,2.15,30,39_111,1
307.384496,37.211884,R,3.09,30,39_111,1
310.152096,37.212532,G,2.38,30,39_112,1
310.154121,37.21406,R,2.51,30,39_112,1
312.922735,37.212842,G,2.09,30,39_113,1
312.923941,37.21416,R,3.73,30,39_113,1
315.693054,37.212545,G,2.24,30,39_114,1
315.692862,37.212885,R,2.64,30,39_114,1
318.459555,37.212723,G,2.04,30,39_115,1
318.462549,37.212853,R,2.66,30,39_115,1
321.229715,37.212802,G,2.71,30,39_116,1
321.231279,37.212894,R,2.13,30,39_116,1
323.999366,37.212823,G,2.83,30,39_117,1
324.000679,37.213014,R,2.41,30,39_117,1
326.769312,37.211753,G,1.97,30,39_118,1
326.768947,37.214017,R,2.41,30,39_118,1
329.539836,37.212402,G,1.77,30,39_119,1
329.539757,37.212827,R,1.62,30,39_119,1
332.307811,37.21226,G,2.31,30,39_120,1
332.30917,37.213951,R,3.05,30,39_120,1
335.078096,37.214376,G,2.33,30,39_121,1
335.077729,37.213743,R,2.15,30,39_121,1
337.845756,37.212365,G,2.93,30,39_122,1
340.614537,37.213221,G,1.87,30,39_123,1
340.616465,37.211798,R,2.53,30,39_123,1
343.384642,37.21307,G,2.4,30,39_124,1
343.386007,37.213477,R,2.03,30,39_124,1
345.824805,38.680378,G,1.87,30,40_122,1
345.827726,38.679826,R,2.76,30,40_122,1
342.991137,38.679848,G,2.95,30,40_121,1
342.992149,38.678629,R,3.0,30,40_121,1
340.157249,38.678229,G,2.5,30,40_120,1
340.156237,38.679234,R,2.0,30,40_120,1
337.32158,38.680648,G,1.79,30,40_119,1
337.320964,38.680809,R,1.87,30,40_119,1
334.487409,38.679525,G,2.44,30,40_118,1
334.489857,38.67954,R,2.43,30,40_118,1
331.652351,38.680091,G,3.02,30,40_117,1
331.653902,38.67931,R,2.7,30,40_117,1
328.820158,38.680123,G,3.15,30,40_116,1
328.818355,38.679575,R,1.93,30,40_116,1
325.984836,38.681676,G,2.48,30,40_115,1
325.98467,38.67921,R,2.44,30,40_115,1
323.149552,38.679495,G,2.09,30,40_114,1
323.148222,38.679858,R,3.11,30,40_114,1
320.314352,38.679808,G,2.72,30,40_113,1
320.312884,38.680372,R,3.64,30,40_113,1
317.480463,38.679827,G,3.01,30,40_112,1
317.479435,38.678717,R,2.82,30,40_112,1
314.646221,38.681086,G,3.11,30,40_111,1
314.648145,38.68115,R,2.12,30,40_111,1
311.810925,38.681016,G,2.66,30,40_110,1
311.811469,38.679106,R,3.08,30,40_110,1
308.97604,38.6787,G,2.43,30,40_109,1
308.976854,38.679618,R,2.51,30,40_109,1
306.143086,38.680383,G,2.74,30,40_108,1
306.141253,38.679563,R,1.71,30,40_108,1
305.279244,40.146502,G,2.62,30,41_106,1
305.279535,40.147696,R,2.76,30,41_106,1
308.159523,40.147352,G,2.6,30,41_107,1
308.162006,40.146496,R,2.35,30,41_107,1
311.039294,40.14798,G,3.72,30,41_108,1
311.03811,40.147483,R,1.65,30,41_108,1
313.918934,40.147736,G,2.9,30,41_109,1
313.919462,40.147026,R,2.24,30,41_109,1
316.800608,40.147044,G,2.42,30,41_110,1
316.799678,40.147636,R,2.87,30,41_110,1
319.680243,40.146875,G,3.3,30,41_111,1
319.68078,40.146938,R,2.72,30,41_111,1
322.56153,40.147205,G,2.48,30,41_112,1
322.55834,40.14657,R,2.12,30,41_112,1
325.441533,40.146773,G,2.51,30,41_113,1
325.440384,40.146349,R,2.28,30,41_113,1
328.318769,40.146626,G,2.89,30,41_114,1
328.320379,40.147537,R,3.38,30,41_114,1
331.199098,40.145877,G,2.47,30,41_115,1
331.198259,40.146977,R,3.73,30,41_115,1
334.081867,40.146199,G,2.59,30,41_116,1
334.079712,40.147362,R,2.03,30,41_116,1
336.960311,40.146977,G,2.02,30,41_117,1
336.959768,40.145966,R,2.93,30,41_117,1
339.841313,40.147157,G,3.18,30,41_118,1
339.841053,40.147802,R,2.59,30,41_118,1
342.719777,40.147406,G,2.73,30,41_119,1
342.7181,40.14671,R,2.95,30,41_119,1
345.599086,40.146738,G,2.08,30,41_120,1
345.601619,40.146662,R,2.39,30,41_120,1
345.242757,41.614787,G,2.34,30,42_117,1
345.243826,41.612268,R,2.29,30,42_117,1
342.294915,41.614471,G,2.13,30,42_116,1
342.296066,41.613385,R,2.99,30,42_116,1
339.344904,41.61289,G,2.35,30,42_115,1
339.345127,41.613369,R,3.17,30,42_115,1
336.392819,41.613923,G,2.84,30,42_114,1
336.392936,41.616108,R,3.03,30,42_114,1
333.444804,41.613006,G,3.31,30,42_113,1
333.442236,41.615323,R,2.12,30,42_113,1
330.49036,41.613838,G,3.29,30,42_112,1
330.491711,41.613983,R,2.07,30,42_112,1
327.540282,41.613337,G,1.27,30,42_111,1
327.541671,41.614233,R,2.72,30,42_111,1
324.587922,41.613302,G,2.68,30,42_110,1
324.591215,41.614362,R,2.56,30,42_110,1
321.639292,41.614394,G,2.45,30,42_109,1
321.640916,41.614285,R,2.58,30,42_109,1
318.688097,41.613597,G,2.56,30,42_108,1
318.688346,41.614755,R,1.92,30,42_108,1
315.738872,41.61329,G,3.13,30,42_107,1
315.735943,41.613529,R,2.0,30,42_107,1
312.78742,41.61272,G,3.13,30,42_106,1
312.783245,41.614416,R,3.21,30,42_106,1
309.834783,41.613914,G,1.73,30,42_105,1
309.837378,41.613794,R,2.43,30,42_105,1
306.884547,41.61414,G,2.29,30,42_104,1
305.547884,43.080435,G,3.39,30,43_101,1
305.547622,43.08081,R,1.99,30,43_101,1
308.570797,43.079514,G,2.28,30,43_102,1
308.570079,43.08164,R,2.36,30,43_102,1
311.597543,43.080098,G,2.21,30,43_103,1
311.597483,43.082013,R,3.23,30,43_103,1
314.621785,43.080428,G,2.84,30,43_104,1
314.623193,43.080242,R,3.32,30,43_104,1
317.645515,43.080308,G,2.84,30,43_105,1
317.645737,43.081995,R,2.1,30,43_105,1
320.672389,43.08158,G,2.78,30,43_106,1
320.672966,43.081058,R,2.44,30,43_106,1
323.699728,43.080328,G,4.03,30,43_107,1
323.695615,43.080882,R,2.33,30,43_107,1
326.721554,43.079684,G,2.56,30,43_108,1
326.724471,43.080764,R,2.7,30,43_108,1
329.748225,43.081025,G,2.6,30,43_109,1
329.745108,43.08126,R,1.92,30,43_109,1
332.774193,43.081971,G,2.83,30,43_110,1
332.771766,43.080684,R,1.88,30,43_110,1
335.800583,43.081843,G,2.84,30,43_111,1
335.798048,43.080631,R,2.47,30,43_111,1
338.824448,43.081442,G,1.64,30,43_112,1
338.823313,43.080681,R,1.99,30,43_112,1
341.849823,43.079194,G,2.45,30,43_113,1
341.849067,43.080687,R,1.76,30,43_113,1
344.875572,43.080142,G,2.44,30,43_114,1
344.87489,43.080966,R,1.55,30,43_114,1
347.899274,43.08131,G,3.24,30,43_115,1
347.899011,43.08101,R,3.16,30,43_115,1
347.586088,44.548645,G,2.43,30,44_112,1
347.584369,44.548516,R,2.68,30,44_112,1
344.482054,44.547767,G,2.05,30,44_111,1
344.483264,44.549007,R,1.57,30,44_111,1
341.377589,44.547634,G,2.34,30,44_110,1
341.378975,44.549263,R,2.47,30,44_110,1
338.27667,44.547255,G,2.58,30,44_109,1
338.276871,44.549558,R,2.31,30,44_109,1
335.171055,44.547414,G,3.11,30,44_108,1
335.173349,44.546375,R,2.29,30,44_108,1
332.070216,44.548318,G,2.68,30,44_107,1
332.070203,44.548545,R,2.33,30,44_107,1
328.964078,44.548083,G,2.8,30,44_106,1
328.966432,44.54742,R,2.59,30,44_106,1
325.862075,44.547738,G,2.37,30,44_105,1
325.860639,44.54581,R,2.17,30,44_105,1
322.759954,44.548738,G,2.56,30,44_104,1
322.75861,44.549429,R,2.45,30,44_104,1
319.654865,44.547939,G,2.29,30,44_103,1
319.655127,44.548264,R,2.74,30,44_103,1
316.551849,44.549087,G,2.24,30,44_102,1
316.551324,44.547398,R,2.11,30,44_102,1
313.448177,44.547098,G,3.15,30,44_101,1
313.449159,44.547052,R,2.81,30,44_101,1
310.343961,44.547259,G,2.12,30,44_100,1
310.343687,44.547814,R,3.01,30,44_100,1
307.240392,44.548937,G,2.68,30,44_99,1
307.241652,44.548869,R,2.17,30,44_99,1
304.137678,44.547073,G,2.4,30,44_98,1
304.13883,44.548489,R,2.18,30,44_98,1
305.839467,46.015742,G,1.9,30,45_96,1
305.841719,46.015136,R,2.39,30,45_96,1
309.025912,46.016076,G,3.22,30,45_97,1
309.027817,46.013642,R,2.02,30,45_97,1
312.214549,46.015477,G,2.14,30,45_98,1
312.21359,46.015762,R,2.42,30,45_98,1
315.399996,46.014915,G,2.47,30,45_99,1
315.399738,46.014422,R,2.08,30,45_99,1
318.58513,46.013598,G,2.7,30,45_100,1
318.581603,46.01591,R,1.98,30,45_100,1
321.770802,46.014774,G,2.52,30,45_101,1
321.770263,46.015001,R,2.69,30,45_101,1
324.956175,46.01459,G,2.78,30,45_102,1
324.957224,46.014342,R,2.77,30,45_102,1
328.13949,46.015221,G,2.19,30,45_103,1
328.141151,46.015382,R,2.67,30,45_103,1
331.324799,46.015559,G,2.22,30,45_104,1
331.329496,46.014962,R,2.95,30,45_104,1
334.513714,46.014582,G,3.3,30,45_105,1
334.51274,46.013877,R,2.35,30,45_105,1
